Study,sample_id,case_diff_controls,FRDA_CTRL,cell_type,group
Maddock,Maddock_FA1icSN_REP6,IC,CTRL,SN,Maddock_FA1icSN
Maddock,Maddock_FA1SN_REP6,FRDA,FRDA,SN,Maddock_FA1SN
Maddock,Maddock_FA2icSN_REP1,IC,CTRL,SN,Maddock_FA2icSN
Maddock,Maddock_FA2icSN_REP2,IC,CTRL,SN,Maddock_FA2icSN
Maddock,Maddock_FA2icSN_REP4,IC,CTRL,SN,Maddock_FA2icSN
Maddock,Maddock_FA2icSN_REP5,IC,CTRL,SN,Maddock_FA2icSN
Maddock,Maddock_FA2icNCC_REP1,IC,CTRL,NCC,Maddock_FA2icNCC
Maddock,Maddock_FA2icNCC_REP2,IC,CTRL,NCC,Maddock_FA2icNCC
Maddock,Maddock_FA2icNCC_REP3,IC,CTRL,NCC,Maddock_FA2icNCC
Maddock,Maddock_FA2icNCC_REP4,IC,CTRL,NCC,Maddock_FA2icNCC
Maddock,Maddock_FA2icLMN_REP3,IC,CTRL,LMN,Maddock_FA2icLMN
Maddock,Maddock_FA2icLMN_REP4,IC,CTRL,LMN,Maddock_FA2icLMN
Maddock,Maddock_FA2icLMN_REP5,IC,CTRL,LMN,Maddock_FA2icLMN
Maddock,Maddock_FA2icLMN_REP6,IC,CTRL,LMN,Maddock_FA2icLMN
Maddock,Maddock_FA2SN_REP1,FRDA,FRDA,SN,Maddock_FA2SN
Maddock,Maddock_FA2SN_REP2,FRDA,FRDA,SN,Maddock_FA2SN
Maddock,Maddock_FA2SN_REP4,FRDA,FRDA,SN,Maddock_FA2SN
Maddock,Maddock_FA2SN_REP5,FRDA,FRDA,SN,Maddock_FA2SN
Maddock,Maddock_FA2NCC_REP1,FRDA,FRDA,NCC,Maddock_FA2NCC
Maddock,Maddock_FA2NCC_REP2,FRDA,FRDA,NCC,Maddock_FA2NCC
Maddock,Maddock_FA2NCC_REP3,FRDA,FRDA,NCC,Maddock_FA2NCC
Maddock,Maddock_FA2NCC_REP4,FRDA,FRDA,NCC,Maddock_FA2NCC
Maddock,Maddock_FA2LMN_REP3,FRDA,FRDA,LMN,Maddock_FA2LMN
Maddock,Maddock_FA2LMN_REP4,FRDA,FRDA,LMN,Maddock_FA2LMN
Maddock,Maddock_FA2LMN_REP5,FRDA,FRDA,LMN,Maddock_FA2LMN
Maddock,Maddock_FA2LMN_REP6,FRDA,FRDA,LMN,Maddock_FA2LMN
Maddock,Maddock_FA1icSN_REP7,IC,CTRL,SN,Maddock_FA1icSN
Maddock,Maddock_FA1icSN_REP8,IC,CTRL,SN,Maddock_FA1icSN
Maddock,Maddock_FA1icSN_REP9,IC,CTRL,SN,Maddock_FA1icSN
Maddock,Maddock_FA1icSN_REP10,IC,CTRL,SN,Maddock_FA1icSN
Maddock,Maddock_FA1SN_REP7,FRDA,FRDA,SN,Maddock_FA1SN
Maddock,Maddock_FA1SN_REP8,FRDA,FRDA,SN,Maddock_FA1SN
Maddock,Maddock_FA1SN_REP9,FRDA,FRDA,SN,Maddock_FA1SN
Maddock,Maddock_FA1SN_REP10,FRDA,FRDA,SN,Maddock_FA1SN
Maddock,Maddock_FA1NCC_REP1,FRDA,FRDA,NCC,Maddock_FA1NCC
Maddock,Maddock_FA1NCC_REP2,FRDA,FRDA,NCC,Maddock_FA1NCC
Maddock,Maddock_FA1NCC_REP3,FRDA,FRDA,NCC,Maddock_FA1NCC
Maddock,Maddock_FA1NCC_REP4,FRDA,FRDA,NCC,Maddock_FA1NCC
Maddock,Maddock_FA1NCC_REP5,FRDA,FRDA,NCC,Maddock_FA1NCC
Maddock,Maddock_FA1icNCC_REP1,IC,CTRL,NCC,Maddock_FA1icNCC
Maddock,Maddock_FA1icNCC_REP2,IC,CTRL,NCC,Maddock_FA1icNCC
Maddock,Maddock_FA1icNCC_REP3,IC,CTRL,NCC,Maddock_FA1icNCC
Maddock,Maddock_FA1icNCC_REP4,IC,CTRL,NCC,Maddock_FA1icNCC
Maddock,Maddock_FA2SN_REP1.2,FRDA,FRDA,SN,Maddock_FA1SN
Maddock,Maddock_FA2icSN_REP1.2,IC,CTRL,SN,Maddock_FA2icSN
Erwin,Erwin_FRDA_REP1,FRDA,FRDA,LCL,Erwin_FRDA
Erwin,Erwin_FRDA_REP2,FRDA,FRDA,LCL,Erwin_FRDA
Erwin,Erwin_FRDA_REP3,FRDA,FRDA,LCL,Erwin_FRDA
Erwin,Erwin_FRDA_REP4,FRDA,FRDA,LCL,Erwin_FRDA
Erwin,Erwin_CTRL_REP1,CTRL,CTRL,LCL,Erwin_CTRL
Erwin,Erwin_CTRL_REP2,CTRL,CTRL,LCL,Erwin_CTRL
Erwin,Erwin_CTRL_REP3,CTRL,CTRL,LCL,Erwin_CTRL
Erwin,Erwin_CTRL_REP4,CTRL,CTRL,LCL,Erwin_CTRL
Lees,Lees_FA1CM_REP1,FRDA,FRDA,CM,Lees_FA1CM
Lees,Lees_FA1CM_REP2,FRDA,FRDA,CM,Lees_FA1CM
Lees,Lees_FA1CM_REP3,FRDA,FRDA,CM,Lees_FA1CM
Lees,Lees_FA1icCM_REP1,IC,CTRL,CM,Lees_FA1icCM
Lees,Lees_FA1icCM_REP2,IC,CTRL,CM,Lees_FA1icCM
Lees,Lees_FA1icCM_REP3,IC,CTRL,CM,Lees_FA1icCM
Lees,Lees_FA2CM_REP1,FRDA,FRDA,CM,Lees_FA2CM
Lees,Lees_FA2CM_REP2,FRDA,FRDA,CM,Lees_FA2CM
Lees,Lees_FA2CM_REP3,FRDA,FRDA,CM,Lees_FA2CM
Lees,Lees_FA2icCM_REP1,IC,CTRL,CM,Lees_FA2icCM
Lees,Lees_FA2icCM_REP2,IC,CTRL,CM,Lees_FA2icCM
Lees,Lees_FA2icCM_REP3,IC,CTRL,CM,Lees_FA2icCM
Lees,Lees_FA3CM_REP1,FRDA,FRDA,CM,Lees_FA3CM
Lees,Lees_FA3CM_REP2,FRDA,FRDA,CM,Lees_FA3CM
Lees,Lees_FA3CM_REP3,FRDA,FRDA,CM,Lees_FA3CM
Lees,Lees_FA3icCM_REP1,IC,CTRL,CM,Lees_FA3icCM
Lees,Lees_FA3icCM_REP2,IC,CTRL,CM,Lees_FA3icCM
Lees,Lees_FA3icCM_REP3,IC,CTRL,CM,Lees_FA3icCM
Napierala,Napierala_CTRL_REP1,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP2,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP3,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP4,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP5,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP6,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP7,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP8,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP9,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP10,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP11,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP12,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP13,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP14,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP15,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP16,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_CTRL_REP17,CTRL,CTRL,Fibro,Napierala_CTRL
Napierala,Napierala_FRDA_REP1,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP2,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP3,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP4,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP5,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP6,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP7,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP8,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP9,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP10,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP11,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP12,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP13,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP14,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP15,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP16,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP17,FRDA,FRDA,Fibro,Napierala_FRDA
Napierala,Napierala_FRDA_REP18,FRDA,FRDA,Fibro,Napierala_FRDA
Mishra,Mishra_FRDA_223_REP1,FRDA,FRDA,Neuron,Mishra_FRDA_223
Mishra,Mishra_FRDA_223_REP2,FRDA,FRDA,Neuron,Mishra_FRDA_223
Mishra,Mishra_FRDA_223_REP3,FRDA,FRDA,Neuron,Mishra_FRDA_223
Mishra,Mishra_FRDA_223_REP4,FRDA,FRDA,Neuron,Mishra_FRDA_223
Mishra,Mishra_FRDA_850_REP1,FRDA,FRDA,Neuron,Mishra_FRDA_850
Mishra,Mishra_FRDA_850_REP2,FRDA,FRDA,Neuron,Mishra_FRDA_850
Mishra,Mishra_FRDA_FF1_REP1,FRDA,FRDA,Neuron,Mishra_FRDA_FF1
Mishra,Mishra_FRDA_FF1_REP2,FRDA,FRDA,Neuron,Mishra_FRDA_FF1
Mishra,Mishra_FRDA_FF1_REP3,FRDA,FRDA,Neuron,Mishra_FRDA_FF1
Mishra,Mishra_FRDA_FF1_REP4,FRDA,FRDA,Neuron,Mishra_FRDA_FF1
Mishra,Mishra_FRDA_FF2_REP1,FRDA,FRDA,Neuron,Mishra_FRDA_FF2
Mishra,Mishra_FRDA_FF2_REP2,FRDA,FRDA,Neuron,Mishra_FRDA_FF2
Mishra,Mishra_FRDA_FF2_REP3,FRDA,FRDA,Neuron,Mishra_FRDA_FF2
Mishra,Mishra_FRDA_FF2_REP4,FRDA,FRDA,Neuron,Mishra_FRDA_FF2
Mishra,Mishra_IC_223_REP1,IC,CTRL,Neuron,Mishra_IC_223
Mishra,Mishra_IC_223_REP2,IC,CTRL,Neuron,Mishra_IC_223
Mishra,Mishra_IC_223_REP3,IC,CTRL,Neuron,Mishra_IC_223
Mishra,Mishra_IC_223_REP4,IC,CTRL,Neuron,Mishra_IC_223
Mishra,Mishra_IC_850_REP1,IC,CTRL,Neuron,Mishra_IC_850
Mishra,Mishra_IC_850_REP2,IC,CTRL,Neuron,Mishra_IC_850
Mishra,Mishra_IC_E35_REP1,IC,CTRL,Neuron,Mishra_IC_E35
Mishra,Mishra_IC_E35_REP2,IC,CTRL,Neuron,Mishra_IC_E35
Mishra,Mishra_IC_E35_REP3,IC,CTRL,Neuron,Mishra_IC_E35
Mishra,Mishra_IC_E35_REP4,IC,CTRL,Neuron,Mishra_IC_E35
Mishra,Mishra_IC_FF2_REP1,IC,CTRL,Neuron,Mishra_IC_FF2
Mishra,Mishra_IC_FF2_REP2,IC,CTRL,Neuron,Mishra_IC_FF2
Mishra,Mishra_IC_FF2_REP3,IC,CTRL,Neuron,Mishra_IC_FF2
Mishra,Mishra_IC_FF2_REP4,IC,CTRL,Neuron,Mishra_IC_FF2
Vilema,Vilema_FRDA_REP1,FRDA,FRDA,Fibro,Vilema_FRDA
Vilema,Vilema_FRDA_REP2,FRDA,FRDA,Fibro,Vilema_FRDA
Vilema,Vilema_FRDA_REP3,FRDA,FRDA,Fibro,Vilema_FRDA
Vilema,Vilema_CTRL_REP1,CTRL,CTRL,Fibro,Vilema_CTRL
Vilema,Vilema_CTRL_REP2,CTRL,CTRL,Fibro,Vilema_CTRL
Vilema,Vilema_CTRL_REP3,CTRL,CTRL,Fibro,Vilema_CTRL
Lai,Lai_IC_PNS_REP1,IC,CTRL,SN,Lai_IC_PNS
Lai,Lai_FRDA_PNS_REP1,FRDA,FRDA,SN,Lai_FRDA_PNS
Lai,Lai_FRDA_PNS_REP2,FRDA,FRDA,SN,Lai_FRDA_PNS
Lai,Lai_FRDA_PNS_REP3,FRDA,FRDA,SN,Lai_FRDA_PNS
Lai,Lai_IC_iPSC_REP1,IC,CTRL,iPSC,Lai_IC_iPSC
Lai,Lai_IC_iPSC_REP2,IC,CTRL,iPSC,Lai_IC_iPSC
Lai,Lai_IC_iPSC_REP3,IC,CTRL,iPSC,Lai_IC_iPSC
Lai,Lai_FRDA_iPSC_REP1,FRDA,FRDA,iPSC,Lai_FRDA_iPSC
Lai,Lai_FRDA_iPSC_REP2,FRDA,FRDA,iPSC,Lai_FRDA_iPSC
Lai,Lai_FRDA_iPSC_REP3,FRDA,FRDA,iPSC,Lai_FRDA_iPSC
Lai,Lai_IC_PNS_REP2,IC,CTRL,SN,Lai_IC_PNS
Lai,Lai_IC_PNS_REP3,IC,CTRL,SN,Lai_IC_PNS
Lai,Lai_IC_PNS_REP4,IC,CTRL,SN,Lai_IC_PNS
Lai,Lai_IC_PNS_REP5,IC,CTRL,SN,Lai_IC_PNS
Lai,Lai_IC_PNS_REP6,IC,CTRL,SN,Lai_IC_PNS
Lai,Lai_FRDA_CNS_REP1,FRDA,FRDA,CNS,Lai_FRDA_CNS
Lai,Lai_IC_CNS_REP1,IC,CTRL,CNS,Lai_IC_CNS
Lai,Lai_IC_CNS_REP2,IC,CTRL,CNS,Lai_IC_CNS
Lai,Lai_IC_CNS_REP3,IC,CTRL,CNS,Lai_IC_CNS
Lai,Lai_FRDA_CNS_REP2,FRDA,FRDA,CNS,Lai_FRDA_CNS
Lai,Lai_FRDA_CNS_REP3,FRDA,FRDA,CNS,Lai_FRDA_CNS
Lai,Lai_FRDA2_CNS_REP1,FRDA,FRDA,CNS,Lai_FRDA2_CNS
Lai,Lai_FRDA2_CNS_REP2,FRDA,FRDA,CNS,Lai_FRDA2_CNS
Lai,Lai_FRDA2_CNS_REP3,FRDA,FRDA,CNS,Lai_FRDA2_CNS
Indelicato,Indelicato_FRDA_REP1,FRDA,FRDA,SM,Indelicato_FRDA
Indelicato,Indelicato_FRDA_REP2,FRDA,FRDA,SM,Indelicato_FRDA
Indelicato,Indelicato_FRDA_REP3,FRDA,FRDA,SM,Indelicato_FRDA
Indelicato,Indelicato_FRDA_REP4,FRDA,FRDA,SM,Indelicato_FRDA
Indelicato,Indelicato_FRDA_REP5,FRDA,FRDA,SM,Indelicato_FRDA
Indelicato,Indelicato_FRDA_REP6,FRDA,FRDA,SM,Indelicato_FRDA
Indelicato,Indelicato_FRDA_REP7,FRDA,FRDA,SM,Indelicato_FRDA
Indelicato,Indelicato_CTRL_REP1,CTRL,CTRL,SM,Indelicato_CTRL
Indelicato,Indelicato_CTRL_REP2,CTRL,CTRL,SM,Indelicato_CTRL
Indelicato,Indelicato_CTRL_REP3,CTRL,CTRL,SM,Indelicato_CTRL
Indelicato,Indelicato_CTRL_REP4,CTRL,CTRL,SM,Indelicato_CTRL
Indelicato,Indelicato_CTRL_REP5,CTRL,CTRL,SM,Indelicato_CTRL
Indelicato,Indelicato_CTRL_REP6,CTRL,CTRL,SM,Indelicato_CTRL
Wang,Wang_CTRL_UTC_rep3,CTRL_UTC,CTRL,Fibro,Wang_CTRL_UTC
Wang,Wang_FRDA_UTC_rep2,FRDA_UTC,FRDA,Fibro,Wang_FRDA_UTC
Wang,Wang_CTRL_UTC_rep1,CTRL_UTC,CTRL,Fibro,Wang_CTRL_UTC
Wang,Wang_FRDA_UTC_rep3,FRDA_UTC,FRDA,Fibro,Wang_FRDA_UTC
Wang,Wang_FRDA_UTC_rep1,FRDA_UTC,FRDA,Fibro,Wang_FRDA_UTC
Wang,Wang_CTRL_UTC_rep2,CTRL_UTC,CTRL,Fibro,Wang_CTRL_UTC
Li,Li_CTRL_REP1,CTRL,CTRL,CM,Li_CTRL
Li,Li_CTRL_REP2,CTRL,CTRL,CM,Li_CTRL
Li,Li_FRDA_REP1,FRDA,FRDA,CM,Li_FRDA
Li,Li_FRDA_REP2,FRDA,FRDA,CM,Li_FRDA
Li,Li_ZFN_REP1,IC,IC,CM,Li_IC
Li,Li_ZFN_REP2,IC,IC,CM,Li_IC
Chutake,Chutake_CTRL_REP1,CTRL,CTRL,LCL,Chutake_CTRL
Chutake,Chutake_CTRL_REP2,CTRL,CTRL,LCL,Chutake_CTRL
Chutake,Chutake_FRDA_REP1,FRDA,FRDA,LCL,Chutake_FRDA
Chutake,Chutake_FRDA_REP2,FRDA,FRDA,LCL,Chutake_FRDA
