dataset,level,threshold
KO_vs_parental,genes,all
partial_KO_vs_parental,genes,all
KO_vs_partial_KO,genes,all
KO_vs_parental,genes,padj_0.10
partial_KO_vs_parental,genes,padj_0.10
KO_vs_partial_KO,genes,padj_0.10
KO_vs_parental,genes,padj_0.05
partial_KO_vs_parental,genes,padj_0.05
KO_vs_partial_KO,genes,padj_0.05
KO_vs_parental,genes,padj_0.01
partial_KO_vs_parental,genes,padj_0.01
KO_vs_partial_KO,genes,padj_0.01
KO_vs_parental,genes,padj_0.001
partial_KO_vs_parental,genes,padj_0.001
KO_vs_partial_KO,genes,padj_0.001
KO_vs_parental,transcripts,all
partial_KO_vs_parental,transcripts,all
KO_vs_partial_KO,transcripts,all
KO_vs_parental,transcripts,padj_0.10
partial_KO_vs_parental,transcripts,padj_0.10
KO_vs_partial_KO,transcripts,padj_0.10
KO_vs_parental,transcripts,padj_0.05
partial_KO_vs_parental,transcripts,padj_0.05
KO_vs_partial_KO,transcripts,padj_0.05
KO_vs_parental,transcripts,padj_0.01
partial_KO_vs_parental,transcripts,padj_0.01
KO_vs_partial_KO,transcripts,padj_0.01
KO_vs_parental,transcripts,padj_0.001
partial_KO_vs_parental,transcripts,padj_0.001
KO_vs_partial_KO,transcripts,padj_0.001
