dataset,ont,filename
KO_vs_parental,BP,KO_vs_parental/gsea_GO_BP.rds
KO_vs_parental,CC,KO_vs_parental/gsea_GO_CC.rds
KO_vs_parental,MF,KO_vs_parental/gsea_GO_MF.rds
KO_vs_parental,KEGG,KO_vs_parental/gsea_KEGG.rds
KO_vs_parental,Reactome,KO_vs_parental/gsea_Reactome.rds
KO_vs_parental,TF_GTRD,KO_vs_parental/gsea_TF_GTRD.rds
KO_vs_partial_KO,BP,KO_vs_partial_KO/gsea_GO_BP.rds
KO_vs_partial_KO,CC,KO_vs_partial_KO/gsea_GO_CC.rds
KO_vs_partial_KO,MF,KO_vs_partial_KO/gsea_GO_MF.rds
KO_vs_partial_KO,KEGG,KO_vs_partial_KO/gsea_KEGG.rds
KO_vs_partial_KO,Reactome,KO_vs_partial_KO/gsea_Reactome.rds
KO_vs_partial_KO,TF_GTRD,KO_vs_partial_KO/gsea_TF_GTRD.rds
partial_KO_vs_parental,BP,partial_KO_vs_parental/gsea_GO_BP.rds
partial_KO_vs_parental,CC,partial_KO_vs_parental/gsea_GO_CC.rds
partial_KO_vs_parental,MF,partial_KO_vs_parental/gsea_GO_MF.rds
partial_KO_vs_parental,KEGG,partial_KO_vs_parental/gsea_KEGG.rds
partial_KO_vs_parental,Reactome,partial_KO_vs_parental/gsea_Reactome.rds
partial_KO_vs_parental,TF_GTRD,partial_KO_vs_parental/gsea_TF_GTRD.rds
