dataset,filename,s3_key,level
Chutake_FRDA_vs_CTRL,Chutake_FRDA_vs_CTRL.rds,pca_input/Chutake_FRDA_vs_CTRL.rds,genes
Erwin_FRDA_vs_CTRL,Erwin_FRDA_vs_CTRL.rds,pca_input/Erwin_FRDA_vs_CTRL.rds,genes
Indelicato_FRDA_vs_CTRL,Indelicato_FRDA_vs_CTRL.rds,pca_input/Indelicato_FRDA_vs_CTRL.rds,genes
Lai_CNS_FRDA_vs_IC,Lai_CNS_FRDA_vs_IC.rds,pca_input/Lai_CNS_FRDA_vs_IC.rds,genes
Lai_iPSC_FRDA_vs_IC,Lai_iPSC_FRDA_vs_IC.rds,pca_input/Lai_iPSC_FRDA_vs_IC.rds,genes
Lai_PNS_FRDA_vs_IC,Lai_PNS_FRDA_vs_IC.rds,pca_input/Lai_PNS_FRDA_vs_IC.rds,genes
Lees_FA1_FRDA_vs_IC,Lees_FA1_FRDA_vs_IC.rds,pca_input/Lees_FA1_FRDA_vs_IC.rds,genes
Lees_FA2_FRDA_vs_IC,Lees_FA2_FRDA_vs_IC.rds,pca_input/Lees_FA2_FRDA_vs_IC.rds,genes
Lees_FA3_FRDA_vs_IC,Lees_FA3_FRDA_vs_IC.rds,pca_input/Lees_FA3_FRDA_vs_IC.rds,genes
Li,Li.rds,pca_input/Li.rds,genes
Maddock_LMN_FA2_FRDA_vs_IC,Maddock_LMN_FA2_FRDA_vs_IC.rds,pca_input/Maddock_LMN_FA2_FRDA_vs_IC.rds,genes
Maddock_NCC_FA1_FRDA_vs_IC,Maddock_NCC_FA1_FRDA_vs_IC.rds,pca_input/Maddock_NCC_FA1_FRDA_vs_IC.rds,genes
Maddock_NCC_FA2_FRDA_vs_IC,Maddock_NCC_FA2_FRDA_vs_IC.rds,pca_input/Maddock_NCC_FA2_FRDA_vs_IC.rds,genes
Maddock_SN_FA1_FRDA_vs_IC,Maddock_SN_FA1_FRDA_vs_IC.rds,pca_input/Maddock_SN_FA1_FRDA_vs_IC.rds,genes
Maddock_SN_FA2_FRDA_vs_IC,Maddock_SN_FA2_FRDA_vs_IC.rds,pca_input/Maddock_SN_FA2_FRDA_vs_IC.rds,genes
Mishra_223_FRDA_vs_IC,Mishra_223_FRDA_vs_IC.rds,pca_input/Mishra_223_FRDA_vs_IC.rds,genes
Mishra_850_FRDA_vs_IC,Mishra_850_FRDA_vs_IC.rds,pca_input/Mishra_850_FRDA_vs_IC.rds,genes
Mishra_FF1_FRDA_vs_IC,Mishra_FF1_FRDA_vs_IC.rds,pca_input/Mishra_FF1_FRDA_vs_IC.rds,genes
Mishra_FF2_FRDA_vs_IC,Mishra_FF2_FRDA_vs_IC.rds,pca_input/Mishra_FF2_FRDA_vs_IC.rds,genes
Napierala_FRDA_vs_CTRL,Napierala_FRDA_vs_CTRL.rds,pca_input/Napierala_FRDA_vs_CTRL.rds,genes
Vilema_FRDA_vs_CTRL,Vilema_FRDA_vs_CTRL.rds,pca_input/Vilema_FRDA_vs_CTRL.rds,genes
Wang_FRDA_vs_CTRL,Wang_FRDA_vs_CTRL.rds,pca_input/Wang_FRDA_vs_CTRL.rds,genes
