filename,dataset
Chutake_FRDA_vs_CTRL_vsd.rds,Chutake
Erwin_FRDA_vs_CTRL_vsd.rds,Erwin
Indelicato_FRDA_vs_CTRL_vsd.rds,Indelicato
Lai_CNS_FRDA_vs_IC_vsd.rds,Lai_CNS
Lai_iPSC_FRDA_vs_IC_vsd.rds,Lai_iPSC
Lai_PNS_FRDA_vs_IC_vsd.rds,Lai_PNS
Lees_FA1_FRDA_vs_IC_vsd.rds,Lees
Lees_FA2_FRDA_vs_IC_vsd.rds,Lees
Lees_FA3_FRDA_vs_IC_vsd.rds,Lees
Li_vsd.rds,Li
Maddock_LMN_FA2_FRDA_vs_IC_vsd.rds,Maddock_LMN
Maddock_NCC_FA1_FRDA_vs_IC_vsd.rds,Maddock_NCC
Maddock_NCC_FA2_FRDA_vs_IC_vsd.rds,Maddock_NCC
Maddock_SN_FA1_FRDA_vs_IC_vsd.rds,Maddock_SN
Maddock_SN_FA2_FRDA_vs_IC_vsd.rds,Maddock_SN
Mishra_223_FRDA_vs_IC_vsd.rds,Mishra_223
Mishra_850_FRDA_vs_IC_vsd.rds,Mishra_850
Mishra_FF1_FRDA_vs_IC_vsd.rds,Mishra_FF1
Mishra_FF2_FRDA_vs_IC_vsd.rds,Mishra_FF2
Napierala_FRDA_vs_CTRL_vsd.rds,Napierala
Vilema_FRDA_vs_CTRL_vsd.rds,Vilema
Wang_FRDA_vs_CTRL_vsd.rds,Wang
